Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,VelX,VelY,VelZ,
1609652069786850048,0.00077,0.00047,0.00169,0.99965,0.01271,-0.02337,0.00024,-0.00173,0.00178,-0.00122,
1609652069853597696,0.00080,0.00045,0.00170,0.99965,0.01277,-0.02330,0.00024,-0.00029,0.00086,-0.00103,
1609652069920298240,0.00074,0.00029,0.00180,0.99964,0.01280,-0.02337,0.00027,0.00164,0.00085,-0.00032,
1609652069986794240,0.00074,0.00032,0.00181,0.99964,0.01285,-0.02342,0.00027,0.00188,0.00134,-0.00127,
1609652070053454592,0.00076,0.00032,0.00182,0.99964,0.01290,-0.02343,0.00026,0.00119,0.00129,-0.00106,
1609652070120257024,0.00075,0.00030,0.00184,0.99964,0.01290,-0.02346,0.00028,0.00008,0.00119,-0.00132,
1609652070186946048,0.00070,0.00034,0.00186,0.99964,0.01294,-0.02341,0.00027,0.00045,0.00170,-0.00120,
1609652070253766144,0.00071,0.00034,0.00188,0.99964,0.01297,-0.02338,0.00027,-0.00073,0.00104,-0.00078,
1609652070320379392,0.00071,0.00028,0.00189,0.99964,0.01290,-0.02337,0.00028,-0.00144,-0.00144,-0.00035,
1609652070387004416,0.00066,0.00030,0.00191,0.99964,0.01288,-0.02334,0.00026,-0.00041,-0.00027,-0.00205,
1609652070453810432,0.00071,0.00031,0.00191,0.99964,0.01290,-0.02335,0.00026,0.00009,0.00036,-0.00143,
1609652070520438528,0.00072,0.00025,0.00190,0.99964,0.01288,-0.02337,0.00028,0.00082,0.00002,-0.00138,
1609652070587044096,0.00068,0.00029,0.00191,0.99964,0.01288,-0.02337,0.00026,0.00085,-0.00012,-0.00165,
1609652070653727232,0.00073,0.00033,0.00193,0.99964,0.01288,-0.02340,0.00026,0.00196,0.00048,-0.00178,
1609652070720312064,0.00074,0.00027,0.00189,0.99964,0.01287,-0.02344,0.00028,0.00266,0.00071,-0.00158,
1609652070787160832,0.00071,0.00031,0.00191,0.99964,0.01289,-0.02345,0.00027,0.00100,0.00018,-0.00117,
1609652070853791744,0.00073,0.00033,0.00195,0.99964,0.01288,-0.02346,0.00026,0.00172,0.00004,-0.00045,
1609652070920481792,0.00071,0.00024,0.00195,0.99964,0.01286,-0.02346,0.00028,0.00121,0.00133,-0.00032,
1609652070987239936,0.00068,0.00030,0.00195,0.99964,0.01287,-0.02345,0.00026,0.00117,0.00053,-0.00096,
1609652071054272768,0.00072,0.00033,0.00197,0.99964,0.01288,-0.02345,0.00026,0.00046,0.00136,-0.00085,
1609652071120652800,0.00067,0.00027,0.00199,0.99964,0.01286,-0.02344,0.00028,0.00040,0.00126,-0.00051,
1609652071187135232,0.00063,0.00032,0.00197,0.99964,0.01287,-0.02344,0.00027,0.00044,0.00101,-0.00192,
